title,icon,time,compatible,evaluate,discount,origin_price,now_price,detailLink
EA SPORTS FC™ 24,https://cdn.cloudflare.steamstatic.com/steam/apps/2195250/capsule_sm_120.jpg?t=1702408161,2023 年 9 月 28 日,"[""win""]",一般,40,469,187,https://store.steampowered.com/app/2195250/EA_SPORTS_FC_24/?snr=1_7_7_2300_150_1
赛博朋克 2077,https://cdn.cloudflare.steamstatic.com/steam/apps/1091500/capsule_sm_120_schinese.jpg?t=1702306332,2020 年 12 月 10 日,"[""win""]",好评,50,399,199,https://store.steampowered.com/app/1091500/_2077/?snr=1_7_7_2300_150_1
Baldur's Gate 3,https://cdn.cloudflare.steamstatic.com/steam/apps/1086940/capsule_sm_120.jpg?t=1703250718,2023 年 8 月 3 日,"[""win"", ""mac""]",好评,90,399,359,https://store.steampowered.com/app/1086940/Baldurs_Gate_3/?snr=1_7_7_2300_150_1
Monster Hunter: World,https://cdn.cloudflare.steamstatic.com/steam/apps/582010/capsule_sm_120.jpg?t=1703266594,2018 年 8 月 10 日,"[""win""]",好评,33,234,77,https://store.steampowered.com/app/582010/Monster_Hunter_World/?snr=1_7_7_2300_150_1
艾尔登法环,https://cdn.cloudflare.steamstatic.com/steam/apps/1245620/capsule_sm_120.jpg?t=1700164457,2022 年 2 月 25 日,"[""win""]",好评,60,479,287,https://store.steampowered.com/app/1245620/_/?snr=1_7_7_2300_150_1
Red Dead Redemption 2,https://cdn.cloudflare.steamstatic.com/steam/apps/1174180/capsule_sm_120.jpg?t=1695140956,2019 年 12 月 6 日,"[""win""]",好评,33,468,154,https://store.steampowered.com/app/1174180/Red_Dead_Redemption_2/?snr=1_7_7_2300_150_1
Monster Hunter World: Iceborne,https://cdn.cloudflare.steamstatic.com/steam/apps/1118010/capsule_sm_120.jpg?t=1702368891,2020 年 1 月 10 日,"[""win""]",一般,37,312,115,https://store.steampowered.com/app/1118010/Monster_Hunter_World_Iceborne/?snr=1_7_7_2300_150_1
Grand Theft Auto V,https://cdn.cloudflare.steamstatic.com/steam/apps/271590/capsule_sm_120.jpg?t=1695060909,2015 年 4 月 14 日,"[""win""]",好评,37,328,122,https://store.steampowered.com/app/271590/Grand_Theft_Auto_V/?snr=1_7_7_2300_150_1
霍格沃茨之遗,https://cdn.cloudflare.steamstatic.com/steam/apps/990080/capsule_sm_120.jpg?t=1699983982,2023 年 2 月 11 日,"[""win""]",好评,50,468,234,https://store.steampowered.com/app/990080/_/?snr=1_7_7_2300_150_1
《赛博朋克 2077：往日之影》,https://cdn.cloudflare.steamstatic.com/steam/apps/2138330/capsule_sm_120_schinese.jpg?t=1701866029,2023 年 9 月 26 日,"[""win""]",好评,85,199,169,https://store.steampowered.com/app/2138330/_2077/?snr=1_7_7_2300_150_1
极限竞速：地平线 5,https://cdn.cloudflare.steamstatic.com/steam/apps/1551360/capsule_sm_120.jpg?t=1702576144,2021 年 11 月 9 日,"[""win""]",好评,50,419,209,https://store.steampowered.com/app/1551360/_5/?snr=1_7_7_2300_150_1
女神异闻录5皇家版,https://cdn.cloudflare.steamstatic.com/steam/apps/1687950/capsule_sm_120.jpg?t=1688115070,2022 年 10 月 21 日,"[""win""]",好评,50,438,219,https://store.steampowered.com/app/1687950/5/?snr=1_7_7_2300_150_1
Resident Evil 4,https://cdn.cloudflare.steamstatic.com/steam/apps/2050650/capsule_sm_120.jpg?t=1701394560,2023 年 3 月 24 日,"[""win""]",好评,50,438,219,https://store.steampowered.com/app/2050650/Resident_Evil_4/?snr=1_7_7_2300_150_1
Sid Meier’s Civilization® VI,https://cdn.cloudflare.steamstatic.com/steam/apps/289070/capsule_sm_120.jpg?t=1680898825,2016 年 10 月 21 日,"[""win"", ""mac"", ""linux""]",好评,10,465,46,https://store.steampowered.com/app/289070/Sid_Meiers_Civilization_VI/?snr=1_7_7_2300_150_1
双人成行,https://cdn.cloudflare.steamstatic.com/steam/apps/1426210/capsule_sm_120.jpg?t=1691006466,2021 年 3 月 26 日,"[""win""]",好评,25,279,69,https://store.steampowered.com/app/1426210/_/?snr=1_7_7_2300_150_1
Hearts of Iron IV,https://cdn.cloudflare.steamstatic.com/steam/apps/394360/capsule_sm_120.jpg?t=1700599414,2016 年 6 月 6 日,"[""win"", ""mac"", ""linux""]",好评,30,268,80,https://store.steampowered.com/app/394360/Hearts_of_Iron_IV/?snr=1_7_7_2300_150_1
《战地风云 5》,https://cdn.cloudflare.steamstatic.com/steam/apps/1238810/capsule_sm_120.jpg?t=1701356409,2020 年 10 月 22 日,"[""win""]",好评,8,349,27,https://store.steampowered.com/app/1238810/_5/?snr=1_7_7_2300_150_1
Tom Clancy's Rainbow Six® Siege,https://cdn.cloudflare.steamstatic.com/steam/apps/359550/capsule_sm_120.jpg?t=1703177325,2015 年 12 月 2 日,"[""win""]",好评,40,145,58,https://store.steampowered.com/app/359550/Tom_Clancys_Rainbow_Six_Siege/?snr=1_7_7_2300_150_1
潜水员戴夫 DAVE THE DIVER,https://cdn.cloudflare.steamstatic.com/steam/apps/1868140/capsule_sm_120.jpg?t=1702627876,2023 年 6 月 28 日,"[""win"", ""mac""]",好评,80,125,100,https://store.steampowered.com/app/1868140/_DAVE_THE_DIVER/?snr=1_7_7_2300_150_1
猛兽派对,https://cdn.cloudflare.steamstatic.com/steam/apps/1260320/capsule_sm_120.jpg?t=1701692409,2023 年 9 月 20 日,"[""win""]",好评,70,109,76,https://store.steampowered.com/app/1260320/_/?snr=1_7_7_2300_150_1
黎明杀机,https://cdn.cloudflare.steamstatic.com/steam/apps/381210/capsule_sm_120.jpg?t=1701297215,2016 年 6 月 15 日,"[""win""]",好评,35,95,33,https://store.steampowered.com/app/381210/_/?snr=1_7_7_2300_150_1
Euro Truck Simulator 2,https://cdn.cloudflare.steamstatic.com/steam/apps/227300/capsule_sm_120_alt_assets_2.jpg?t=1702891810,2012 年 10 月 13 日,"[""win"", ""mac"", ""linux""]",好评,25,129,32,https://store.steampowered.com/app/227300/Euro_Truck_Simulator_2/?snr=1_7_7_2300_150_2
Sekiro™: Shadows Die Twice - GOTY Edition,https://cdn.cloudflare.steamstatic.com/steam/apps/814380/capsule_sm_120.jpg?t=1678991267,2019 年 3 月 22 日,"[""win""]",好评,50,398,199,https://store.steampowered.com/app/814380/Sekiro_Shadows_Die_Twice__GOTY_Edition/?snr=1_7_7_2300_150_2
战地风云™ 2042,https://cdn.cloudflare.steamstatic.com/steam/apps/1517290/capsule_sm_120_schinese.jpg?t=1703193378,2021 年 11 月 19 日,"[""win""]",一般,20,399,79,https://store.steampowered.com/app/1517290/_2042/?snr=1_7_7_2300_150_2
遗迹2,https://cdn.cloudflare.steamstatic.com/steam/apps/1282100/capsule_sm_120.jpg?t=1702505861,2023 年 7 月 26 日,"[""win""]",好评,60,350,210,https://store.steampowered.com/app/1282100/2/?snr=1_7_7_2300_150_2
《暗黑破坏神® IV》,https://cdn.cloudflare.steamstatic.com/steam/apps/2344520/capsule_sm_120.jpg?t=1701194709,2023 年 10 月 18 日,"[""win""]",一般,60,549,329,https://store.steampowered.com/app/2344520/_IV/?snr=1_7_7_2300_150_2
Street Fighter 6,https://cdn.cloudflare.steamstatic.com/steam/apps/1364780/capsule_sm_120.jpg?t=1702388165,2023 年 6 月 2 日,"[""win""]",好评,66,458,302,https://store.steampowered.com/app/1364780/Street_Fighter_6/?snr=1_7_7_2300_150_2
Anno 1800,https://cdn.cloudflare.steamstatic.com/steam/apps/916440/capsule_sm_120.jpg?t=1699970719,2019 年 4 月,"[""win""]",好评,25,438,109,https://store.steampowered.com/app/916440/Anno_1800/?snr=1_7_7_2300_150_2
《猎人：荒野的召唤™》,https://cdn.cloudflare.steamstatic.com/steam/apps/518790/capsule_sm_120_schinese.jpg?t=1702376841,2017 年 2 月 16 日,"[""win""]",好评,20,89,17,https://store.steampowered.com/app/518790/_/?snr=1_7_7_2300_150_2
Football Manager 2024,https://cdn.cloudflare.steamstatic.com/steam/apps/2252570/capsule_sm_120.jpg?t=1702984758,2023 年 11 月 6 日,"[""win"", ""mac""]",好评,90,329,296,https://store.steampowered.com/app/2252570/Football_Manager_2024/?snr=1_7_7_2300_150_2
Cities: Skylines II,https://cdn.cloudflare.steamstatic.com/steam/apps/949230/capsule_sm_120.jpg?t=1701874564,2023 年 10 月 24 日,"[""win""]",一般,90,358,322,https://store.steampowered.com/app/949230/Cities_Skylines_II/?snr=1_7_7_2300_150_2
MONSTER HUNTER RISE,https://cdn.cloudflare.steamstatic.com/steam/apps/1446780/capsule_sm_120.jpg?t=1701395186,2022 年 1 月 13 日,"[""win""]",好评,40,308,123,https://store.steampowered.com/app/1446780/MONSTER_HUNTER_RISE/?snr=1_7_7_2300_150_2
FINAL FANTASY VII REMAKE INTERGRADE,https://cdn.cloudflare.steamstatic.com/steam/apps/1462040/capsule_sm_120.jpg?t=1696383548,2022 年 6 月 17 日,"[""win""]",好评,50,568,284,https://store.steampowered.com/app/1462040/FINAL_FANTASY_VII_REMAKE_INTERGRADE/?snr=1_7_7_2300_150_2
Stardew Valley,https://cdn.cloudflare.steamstatic.com/steam/apps/413150/capsule_sm_120.jpg?t=1666917466,2016 年 2 月 27 日,"[""win"", ""mac"", ""linux""]",好评,67,99,66,https://store.steampowered.com/app/413150/Stardew_Valley/?snr=1_7_7_2300_150_2
Age of Empires IV: Anniversary Edition,https://cdn.cloudflare.steamstatic.com/steam/apps/1466860/capsule_sm_120_alt_assets_3.jpg?t=1702338967,2021 年 10 月 28 日,"[""win""]",好评,50,259,129,https://store.steampowered.com/app/1466860/Age_of_Empires_IV_Anniversary_Edition/?snr=1_7_7_2300_150_2
Stellaris,https://cdn.cloudflare.steamstatic.com/steam/apps/281990/capsule_sm_120.jpg?t=1700151517,2016 年 5 月 9 日,"[""win"", ""mac"", ""linux""]",好评,30,228,68,https://store.steampowered.com/app/281990/Stellaris/?snr=1_7_7_2300_150_2
《上古卷轴®OL》,https://cdn.cloudflare.steamstatic.com/steam/apps/306130/capsule_sm_120_alt_assets_14.jpg?t=1703084609,2017 年 5 月 23 日,"[""win"", ""mac""]",好评,30,155,46,https://store.steampowered.com/app/306130/OL/?snr=1_7_7_2300_150_2
Project Zomboid,https://cdn.cloudflare.steamstatic.com/steam/apps/108600/capsule_sm_120.jpg?t=1691508011,2013 年 11 月 9 日,"[""win"", ""mac"", ""linux""]",好评,67,125,83,https://store.steampowered.com/app/108600/Project_Zomboid/?snr=1_7_7_2300_150_2
夏日狂想曲：乡间的难忘回忆,https://cdn.cloudflare.steamstatic.com/steam/apps/1227890/capsule_sm_120_schinese.jpg?t=1703264715,2020 年 6 月 15 日,"[""win""]",好评,25,89,22,https://store.steampowered.com/app/1227890/_/?snr=1_7_7_2300_150_2
Lies of P,https://cdn.cloudflare.steamstatic.com/steam/apps/1627720/capsule_sm_120.jpg?t=1701760966,2023 年 9 月 18 日,"[""win"", ""mac""]",好评,80,328,262,https://store.steampowered.com/app/1627720/Lies_of_P/?snr=1_7_7_2300_150_2
Assassin's Creed Valhalla,https://cdn.cloudflare.steamstatic.com/steam/apps/2208920/capsule_sm_120.jpg?t=1697654233,2022 年 12 月 7 日,"[""win""]",好评,25,438,109,https://store.steampowered.com/app/2208920/Assassins_Creed_Valhalla/?snr=1_7_7_2300_150_2
饥荒联机版,https://cdn.cloudflare.steamstatic.com/steam/apps/322330/capsule_sm_120_alt_assets_42.jpg?t=1703009096,2016 年 4 月 22 日,"[""win"", ""mac"", ""linux""]",好评,34,76,25,https://store.steampowered.com/app/322330/_/?snr=1_7_7_2300_150_2
World War Z,https://cdn.cloudflare.steamstatic.com/steam/apps/699130/capsule_sm_120.jpg?t=1701782667,2021 年 9 月 21 日,"[""win""]",好评,50,199,99,https://store.steampowered.com/app/699130/World_War_Z/?snr=1_7_7_2300_150_2
Fate/Samurai Remnant,https://cdn.cloudflare.steamstatic.com/steam/apps/1902690/capsule_sm_120_schinese.jpg?t=1698899102,2023 年 9 月 29 日,"[""win""]",好评,75,390,292,https://store.steampowered.com/app/1902690/FateSamurai_Remnant/?snr=1_7_7_2300_150_2
BattleBit Remastered,https://cdn.cloudflare.steamstatic.com/steam/apps/671860/capsule_sm_120.jpg?t=1702933774,2023 年 6 月 15 日,"[""win""]",好评,60,114,68,https://store.steampowered.com/app/671860/BattleBit_Remastered/?snr=1_7_7_2300_150_3
Cities: Skylines,https://cdn.cloudflare.steamstatic.com/steam/apps/255710/capsule_sm_120.jpg?t=1699527482,2015 年 3 月 11 日,"[""win"", ""mac"", ""linux""]",好评,30,218,65,https://store.steampowered.com/app/255710/Cities_Skylines/?snr=1_7_7_2300_150_3
人中之龙7外传 无名之龙,https://cdn.cloudflare.steamstatic.com/steam/apps/2375550/capsule_sm_120_schinese.jpg?t=1702627749,2023 年 11 月 8 日,"[""win""]",好评,75,298,223,https://store.steampowered.com/app/2375550/7/?snr=1_7_7_2300_150_3
Mount & Blade II: Bannerlord,https://cdn.cloudflare.steamstatic.com/steam/apps/261550/capsule_sm_120.jpg?t=1671213711,2022 年 10 月 25 日,"[""win""]",好评,60,359,215,https://store.steampowered.com/app/261550/Mount__Blade_II_Bannerlord/?snr=1_7_7_2300_150_3
巫师 3：狂猎,https://cdn.cloudflare.steamstatic.com/steam/apps/292030/capsule_sm_120_schinese.jpg?t=1693590732,2015 年 5 月 18 日,"[""win""]",好评,25,309,77,https://store.steampowered.com/app/292030/_3/?snr=1_7_7_2300_150_3
《巫师 3：狂猎 - 完全版》,https://cdn.cloudflare.steamstatic.com/steam/subs/124923/capsule_sm_120_schinese.jpg?t=1671055800,2016 年 8 月 31 日,"[""win""]",好评,25,389,97,https://store.steampowered.com/sub/124923/?snr=1_7_7_2300_150_3
NBA 2K24,https://cdn.cloudflare.steamstatic.com/steam/apps/2338770/capsule_sm_120.jpg?t=1701446958,2023 年 9 月 8 日,"[""win""]",好评,35,468,163,https://store.steampowered.com/app/2338770/NBA_2K24/?snr=1_7_7_2300_150_3
Crusader Kings III,https://cdn.cloudflare.steamstatic.com/steam/apps/1158310/capsule_sm_120.jpg?t=1702994735,2020 年 9 月 2 日,"[""win"", ""mac"", ""linux""]",好评,50,288,144,https://store.steampowered.com/app/1158310/Crusader_Kings_III/?snr=1_7_7_2300_150_3
Sons Of The Forest,https://cdn.cloudflare.steamstatic.com/steam/apps/1326470/capsule_sm_120.jpg?t=1697048131,2023 年 2 月 24 日,"[""win""]",好评,80,187,149,https://store.steampowered.com/app/1326470/Sons_Of_The_Forest/?snr=1_7_7_2300_150_3
Total War: WARHAMMER III,https://cdn.cloudflare.steamstatic.com/steam/apps/1142710/capsule_sm_120.jpg?t=1703199063,2022 年 2 月 17 日,"[""win"", ""mac"", ""linux""]",一般,50,468,234,https://store.steampowered.com/app/1142710/Total_War_WARHAMMER_III/?snr=1_7_7_2300_150_3
动物园之星,https://cdn.cloudflare.steamstatic.com/steam/apps/703080/capsule_sm_120_alt_assets_1_schinese.jpg?t=1702900553,2019 年 11 月 5 日,"[""win""]",好评,25,200,50,https://store.steampowered.com/app/703080/_/?snr=1_7_7_2300_150_3
RimWorld,https://cdn.cloudflare.steamstatic.com/steam/apps/294100/capsule_sm_120.jpg?t=1699265633,2018 年 10 月 17 日,"[""win"", ""mac"", ""linux""]",好评,80,189,151,https://store.steampowered.com/app/294100/RimWorld/?snr=1_7_7_2300_150_3
Tom Clancy’s The Division® 2,https://cdn.cloudflare.steamstatic.com/steam/apps/2221490/capsule_sm_120.jpg?t=1698866823,2023 年 1 月 13 日,"[""win""]",好评,30,218,65,https://store.steampowered.com/app/2221490/Tom_Clancys_The_Division_2/?snr=1_7_7_2300_150_3
MONSTER HUNTER RISE + SUNBREAK 组合包,https://cdn.cloudflare.steamstatic.com/steam/subs/692569/capsule_sm_120.jpg?t=1661817293,2022 年 6 月 30 日,"[""win""]",好评,50,458,229,https://store.steampowered.com/sub/692569/?snr=1_7_7_2300_150_3
The Last of Us™ Part I,https://cdn.cloudflare.steamstatic.com/steam/apps/1888930/capsule_sm_120.jpg?t=1697567304,2023 年 3 月 28 日,"[""win""]",一般,67,468,313,https://store.steampowered.com/app/1888930/The_Last_of_Us_Part_I/?snr=1_7_7_2300_150_3
歧路旅人 II,https://cdn.cloudflare.steamstatic.com/steam/apps/1971650/capsule_sm_120.jpg?t=1702584991,2023 年 2 月 25 日,"[""win""]",好评,70,479,335,https://store.steampowered.com/app/1971650/_II/?snr=1_7_7_2300_150_3
Left 4 Dead 2,https://cdn.cloudflare.steamstatic.com/steam/apps/550/capsule_sm_120.jpg?t=1675801903,2009 年 11 月 17 日,"[""win"", ""mac"", ""linux""]",好评,10,66,6,https://store.steampowered.com/app/550/Left_4_Dead_2/?snr=1_7_7_2300_150_3
Sea of Thieves 2023 Edition,https://cdn.cloudflare.steamstatic.com/steam/apps/1172620/capsule_sm_120.jpg?t=1701264099,2020 年 6 月 3 日,"[""win""]",好评,50,269,134,https://store.steampowered.com/app/1172620/Sea_of_Thieves_2023_Edition/?snr=1_7_7_2300_150_3
沉没之地,https://cdn.cloudflare.steamstatic.com/steam/apps/2080690/capsule_sm_120.jpg?t=1703562037,2023 年 8 月 26 日,"[""win""]",好评,80,125,100,https://store.steampowered.com/app/2080690/_/?snr=1_7_7_2300_150_3
暖雪 Warm Snow,https://cdn.cloudflare.steamstatic.com/steam/apps/1296830/capsule_sm_120_schinese.jpg?t=1702643232,2022 年 1 月 19 日,"[""win""]",好评,70,86,60,https://store.steampowered.com/app/1296830/_Warm_Snow/?snr=1_7_7_2300_150_3
Terraria,https://cdn.cloudflare.steamstatic.com/steam/apps/105600/capsule_sm_120.jpg?t=1666290860,2011 年 5 月 17 日,"[""win"", ""mac"", ""linux""]",好评,50,66,33,https://store.steampowered.com/app/105600/Terraria/?snr=1_7_7_2300_150_3
Divinity: Original Sin 2 - Definitive Edition,https://cdn.cloudflare.steamstatic.com/steam/apps/435150/capsule_sm_120.jpg?t=1668591196,2017 年 9 月 14 日,"[""win"", ""mac""]",好评,30,260,78,https://store.steampowered.com/app/435150/Divinity_Original_Sin_2__Definitive_Edition/?snr=1_7_7_2300_150_3
Victoria 3,https://cdn.cloudflare.steamstatic.com/steam/apps/529340/capsule_sm_120.jpg?t=1700503233,2022 年 10 月 26 日,"[""win"", ""mac"", ""linux""]",一般,50,358,179,https://store.steampowered.com/app/529340/Victoria_3/?snr=1_7_7_2300_150_3
真人快打 1,https://cdn.cloudflare.steamstatic.com/steam/apps/1971870/capsule_sm_120.jpg?t=1702393935,2023 年 9 月 20 日,"[""win""]",好评,50,548,274,https://store.steampowered.com/app/1971870/_1/?snr=1_7_7_2300_150_3
